"Stories","Informed","DNA","GM","NaturalSelection","PCR","UndDNA","UndGM","UndNaturalSelection","UndPCR","BeforePand_1","BeforePand_2","BeforePand_3","ViewChange1","ViewChange2","ViewChange3","Statements_1","Statements_2","Statements_3","Statements_4","Statements_5","Statements_6","Statements_7","Statements_8","Statements_9","Statements_10","Statements_11","Statements_12","AttGenetics","Optimism","SciRelationship","ThreeMonths1","ThreeMonths2","ThreeMonths3","ThreeMonths4","ThreeMonths5","ThreeMonths6","WhoTrust01","WhoTrust02","WhoTrust03","WhoTrust04","WhoTrust05","WhoTrust06","WhoTrust07","WhoTrust08","WhoTrust09","WhoTrust10","WhichTrust01","WhichTrust02","WhichTrust03","WhichTrust04","WhichTrust05","WhichTrust06","WhichTrust07","WhichTrust08","WhichTrust09","WhichTrust10","WhichTrust11","WhichTrust12","WhichTrust13","WhichTrust14","WhichTrust15","WhichTrust16","WhichTrust17","HeardGenes","ThoughtGenes","TheseDays","TrustSci","TrustGenet","TrustGeol","PandTrustSci","PandTrustGenet","PandTrustGeol","Pfiz","Glaxo","HadCov","CovVac","PV11_Mode","PV11_Weight","SF_Region_N","RS_Age_Exact","RS_Sex","RS_EthnicGroup","RS_Religiosity","RS_EnglishLanguage","RS_EducationLevel","RS_NSSEC_OperationalCat","RS_Twitter","RS_LinkedIn","RS_Smartphone","RS_PoliticalEngagement","RS_ClimateChange","SF_OAC","RS_VotedGE17","RS_VoteChoice17","RS_VotedGE19","RS_VoteChoice19","RS_EUReferendumChoice16","RS_RichPeopleGetAwayWithIt","RS_RespectUKValues","RS_ProtectWorkingConditionsWages","RS_BusinessOverregulated","RS_NationalisePublicServicesIndustries","RS_TolerateUnconventional","RS_TougherSentences","RS_RedistributeIncome","RS_FewerImmigrants","RS_AbolishMonarchy","ID","sci_self_under","gen_self_under","scigen_self_under","self_change_under","attitude_prior","attitude_change","sci_know","ThreeMonthExposure","Who2Trust","GeneConciousness","TrustScientists","ChangeTrustScientists","HadCov_recoded","CovVac_recoded","Age","education_level","religion","politics"
3,2,4,4,4,0,0,0,0,0,1,0,-2,0,0,0,1,1,-1,-1,1,1,-1,1,-1,-1,1,0,0,0.5,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,2,1,2,-2,0,0,NA,0,"No","Yes, and I have already been vaccinated","Telephone interview",2.55962209888608,"E12000006 (East of England)",57,"Male","White British","Religious (not actively practising)","English is only language","Non-degree level qualifications","L5: Lower managerial and administrative occupations","No","No","No","Fairly closely","It is mainly caused by human activity","White professionals","Voted","Conservatives","Did not vote","Did not vote","Leave",0,1,-2,2,1,0,1,0,0,2,11,0.833333333333333,0.75,0.777777777777778,0,-0.166666666666667,0,0.0833333333333333,0,0.2,0.1,0.833333333333333,-0.333333333333333,0,1,57,1,1,0.25
3,2,3,2,3,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,-1,1,-1,NA,0.5,0.5,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,4,3,0,1,1,2,0,0,0,NA,1,"No","Yes, and I have already been vaccinated","Telephone interview",3.03922495141764,"E12000007 (London)",78,"Male","White British","Religious (not actively practising)","English is only language","Degree level qualification(s)",NA,"No","No","Yes","Very closely","It is mainly caused by human activity","Indian tech achievers","Voted","Labour","Voted",NA,"Remain",-2,-1,-2,-2,-2,-1,-1,-1,-2,-1,12,0.833333333333333,0.5,0.611111111111111,0,0.333333333333333,0.333333333333333,0.666666666666667,0.2,0.2,0.7,0.666666666666667,0,0,1,78,2,1,-0.75
2,1,3,3,3,1,1,0,0,0,0,0,1,0,0,1,1,-1,1,1,-1,1,-1,1,0,1,1,-1,0.5,0.5,0.5,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,-2,-1,1,1,-1,0,0,NA,-1,"No","Yes, but I am yet to be vaccinated","Online s/cquestionnaire",1.03351486776779,"E12000007 (London)",25,"Female","Mixed/Multiple ethnic groups","Not religious","English is main language but not the only one","Degree level qualification(s)","L4.1: Lower professional and higher technical occupations - ‘Traditional’ employees","No","Yes","Yes","Not very closely","It is partly caused by natural processes and partly caused by human activity","Indian tech achievers","Voted","Conservatives","Voted","Conservatives","Remain",NA,1,-2,0,0,NA,2,-1,1,0,13,0.5,0.625,0.583333333333333,0.25,0.166666666666667,0.333333333333333,0.25,0.2,0.133333333333333,0.1,0.166666666666667,-0.166666666666667,0,1,25,2,0,0.0625
3,2,3,3,2,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,-1,1,1,1,1,1,0.5,0.5,0.5,1,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,NA,0,"No","Yes, and I have already been vaccinated","Online s/cquestionnaire",0.600465141643424,"E12000008 (SE England)",50,"Male","White British","Religious (not actively practising)","English is main language but not the only one","Non-degree level qualifications","L3.2: Higher professional occupations -  ‘New’ employees","Yes","Yes","Yes","Fairly closely","It is mainly caused by human activity","Multi-ethnic suburbia","Voted","Conservatives","Voted","Conservatives","Remain",1,1,-1,1,1,-1,2,1,-1,2,14,0.833333333333333,0.5,0.611111111111111,0,0.5,0,0.833333333333333,0.4,0.4,0.2,0.5,0,0,1,50,1,1,0.3
1,2,3,1,2,3,1,0,0,0,-2,-1,1,0,0,0,1,1,1,-1,-1,-1,1,1,1,1,1,1,0,-0.5,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,-1,2,1,0,0,0,0,NA,0,"Yes, my own suspicions","Yes, and I have already been vaccinated","Telephone interview",2.46636630701686,"E12000008 (SE England)",83,"Female","White British","Religious (not actively practising)","English is only language","No academic or vocational qualifications","L10: Lower supervisory occupations","No","No","No","Very closely","It is partly caused by natural processes and partly caused by human activity","Self-sufficient retirement","Voted","Liberal Democrats","Voted","Liberal Democrats","Remain",-1,2,-2,1,-2,-1,2,-2,2,2,15,0.5,0.5625,0.541666666666667,0.25,-0.333333333333333,0,0.5,0,0.133333333333333,0.1,0.5,0,1,1,83,0,1,0.05
3,2,2,2,2,0,1,0,0,0,0,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,-1,0,NA,0.5,0.5,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,3,3,-1,2,1,2,1,1,0,1,NA,"No","Yes, and I have already been vaccinated","Online s/cquestionnaire",0.599847629014211,"E12000008 (SE England)",45,"Female","White British","Religious (practising)","English is main language but not the only one","Degree level qualification(s)","L3.2: Higher professional occupations -  ‘New’ employees","Yes","Yes","Yes","Fairly closely","It is entirely caused by human activity","Semi-detached ageing","Voted","Conservatives","Voted","Liberal Democrats","Remain",-1,0,-1,2,-1,-1,0,1,-2,2,16,0.833333333333333,0.375,0.527777777777778,0.25,0.333333333333333,0,0.75,0.6,0.266666666666667,0.6,0.833333333333333,0.333333333333333,0,1,45,2,2,-0.05
2,1,3,2,0,2,0,0,0,1,0,0,0,0,0,0,1,1,-1,1,0,1,0,0,0,1,1,0,0,0.5,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,NA,0,"No","Yes, but I am yet to be vaccinated","Online s/cquestionnaire",1.64345654831358,"E12000006 (East of England)",31,"Female","Indian","Religious (practising)","English is main language but not the only one","Degree level qualification(s)","L4.1: Lower professional and higher technical occupations - ‘Traditional’ employees","No","No","Yes","Not very closely","It is entirely caused by natural processes","Multi-ethnic professionals with families","Voted",NA,"Voted","Labour",NA,2,0,-2,NA,NA,0,0,1,-1,NA,17,0.5,0.4375,0.458333333333333,0.25,0,0,0.416666666666667,0.2,0.0666666666666667,0,0.166666666666667,0,0,1,31,2,2,0
3,2,4,2,3,2,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0.5,0.5,0.5,1,1,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,-1,1,1,1,1,1,0,0,NA,"No","Yes, and I have already been vaccinated","Online s/cquestionnaire",0.806418594289706,"E12000006 (East of England)",49,"Female","White British","Religious (not actively practising)","English is only language","Degree level qualification(s)","L3.3: Higher professional occupations -  ‘Traditional’ self-employed","No","Yes","Yes","Fairly closely","It is mainly caused by human activity","Multi-ethnic professionals with families","Voted","Liberal Democrats","Voted","Labour","Remain",-2,-1,-2,0,1,-2,-1,-2,-2,1,18,0.833333333333333,0.6875,0.736111111111111,0.25,0.333333333333333,0,0.916666666666667,0.8,0,0.7,0.5,0.333333333333333,0,1,49,2,1,-0.5
3,2,4,4,4,3,0,0,0,1,1,1,-1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0.5,0.5,1,0,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,3,3,-1,1,1,1,0,0,0,NA,0,"Yes, my own suspicions","Yes, and I have already been vaccinated","Online s/cquestionnaire",1.24941291981874,"E12000006 (East of England)",53,"Male","White British","Religious (not actively practising)","English is only language","Non-degree level qualifications","L9.1: Own account workers (non-professional)","No","No","Yes","Fairly closely","It is mainly caused by human activity","Communal retirement","Voted","Conservatives","Voted","Conservatives","Leave",-1,1,-1,NA,-1,0,1,-1,NA,2,19,0.833333333333333,0.9375,0.902777777777778,0.25,0.166666666666667,0,0.916666666666667,0.6,0.533333333333333,0.6,0.5,0,1,1,53,1,1,0
2,1,3,2,3,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.5,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,-2,1,1,1,2,1,0,NA,0,"No","Yes, and I have already been vaccinated","Online s/cquestionnaire",0.571953655260033,"E12000006 (East of England)",30,"Male","White British","Not religious","English is only language","Degree level qualification(s)","L3.2: Higher professional occupations -  ‘New’ employees","Yes","No","Yes","Very closely","It is entirely caused by human activity","Communal retirement","Voted","Labour","Voted","Labour","Remain",-2,-2,-2,-2,-2,-2,1,-2,-2,-1,20,0.5,0.5,0.5,0,0.333333333333333,0.333333333333333,0.916666666666667,0.6,0.133333333333333,0.2,0.5,0.5,0,1,30,2,0,-0.8
3,1,4,2,1,0,1,0,-1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,NA,0.5,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,1,1,2,0,0,NA,0,"No","Yes, and I have already been vaccinated","Online s/cquestionnaire",0.485232984925387,"E12000008 (SE England)",68,"Female","White British","Not religious","English is only language","Non-degree level qualifications","L7.1: Intermediate clerical and administrative occupations","No","No","Yes","Fairly closely","It is entirely caused by natural processes","Commuters with young families","Voted","Conservatives","Voted","Conservatives","Leave",2,-1,-1,0,1,-1,2,1,2,1,21,0.666666666666667,0.4375,0.513888888888889,0,0.5,0.333333333333333,0.75,0.2,0.0666666666666667,0.2,0.666666666666667,0.333333333333333,0,1,68,1,0,0.3
3,2,4,4,4,1,0,0,0,1,2,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,3,4,-1,1,1,2,0,0,0,NA,0,"No","Yes, and I have already been vaccinated","Online s/cquestionnaire",0.49522969601927,"E12000008 (SE England)",39,"Male","White British","Not religious","English is only language","Degree level qualification(s)","L3.2: Higher professional occupations -  ‘New’ employees","No","Yes","Yes","Not very closely","It is mainly caused by human activity","Rural white-collar workers",NA,NA,"Voted","Conservatives","Remain",-2,0,-2,-1,2,-2,0,0,-1,1,22,0.833333333333333,0.8125,0.819444444444445,0.25,0.5,0,1,0.8,0.6,0.7,0.666666666666667,0,0,1,39,2,0,-0.25
1,1,3,3,3,0,0,0,0,0,0,-1,2,-1,-1,1,1,1,1,-1,-1,1,0,-1,1,1,-1,1,-0.5,-1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,3,3,-1,1,1,1,-1,-1,-1,0,NA,"Yes, my own suspicions","No, I would not get vaccinated","Online s/cquestionnaire",0.819768591108866,"E12000008 (SE England)",43,"Female","White British","Not religious","English is only language","Non-degree level qualifications","L12.2: Semi-routine service occupations","No","No","Yes","Not very closely","It is entirely caused by human activity","Rural white-collar workers","Did not vote","Did not vote","Voted","Conservatives","Did not vote",2,2,-2,1,2,0,1,0,2,0,23,0.333333333333333,0.5625,0.486111111111111,0,0.166666666666667,-0.333333333333333,0.25,0.2,0.266666666666667,0.6,0.5,-0.5,1,0,43,1,0,0.4
2,2,2,2,1,2,0,0,1,1,0,-1,-1,0,0,0,1,1,1,0,0,-1,0,1,1,0,1,1,0,0.5,0.5,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,3,3,-1,1,0,1,1,0,0,0,NA,"No","Yes, and I have already been vaccinated","Online s/cquestionnaire",1.2121541594959,"E12000002 (NW England)",55,"Female","White British","Religious (not actively practising)","English is only language","Degree level qualification(s)","L7.1: Intermediate clerical and administrative occupations","No","No","Yes","Very closely","It is partly caused by natural processes and partly caused by human activity","Ageing industrious workers","Voted","Labour","Voted","Labour","Remain",-1,1,-2,-2,-2,-1,0,-1,0,-1,24,0.666666666666667,0.4375,0.513888888888889,0.5,-0.333333333333333,0,0.5,0.4,0.133333333333333,0.6,0.333333333333333,0.166666666666667,0,1,55,2,1,-0.45
3,2,3,3,1,3,1,0,0,0,0,0,-1,0,0,0,1,0,1,1,1,0,0,0,-1,0,1,0,0,0.5,0.5,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,2,2,2,0,0,0,0,NA,"No","Yes, and I have already been vaccinated","Online s/cquestionnaire",0.437005393807348,"E12000004 (East Midlands)",63,"Female","White British","Not religious","English is only language","Degree level qualification(s)","L4.1: Lower professional and higher technical occupations - ‘Traditional’ employees","No","No","Yes","Not very closely","It is entirely caused by human activity","Semi-detached ageing","Voted","Conservatives","Voted","Conservatives","Remain",0,1,-2,NA,0,-1,1,-1,-1,2,25,0.833333333333333,0.625,0.694444444444445,0.25,-0.166666666666667,0,0.333333333333333,0.4,0.266666666666667,0.2,1,0,0,1,63,2,0,-0.0555555555555556
3,2,3,3,2,2,0,0,0,1,0,1,0,-1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0.5,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,-1,2,2,2,0,0,0,NA,1,"No","Yes, and I have already been vaccinated","Online s/cquestionnaire",1.02016107100186,"E12000004 (East Midlands)",59,"Male","White British","Not religious","English is only language","Non-degree level qualifications","L9.1: Own account workers (non-professional)","No","Yes","Yes","Not very closely","It is mainly caused by human activity","Semi-detached ageing","Voted",NA,"Voted","Conservatives","Remain",2,2,-1,0,1,0,1,0,-1,2,26,0.833333333333333,0.625,0.694444444444445,0.25,0.166666666666667,-0.333333333333333,0.75,0.4,0.4,0.2,1,0,0,1,59,1,0,0.3
2,1,3,3,3,1,0,0,0,0,0,-2,-1,1,-1,-1,1,1,1,-1,1,1,-1,-1,1,1,-1,1,0,0.5,0.5,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,4,3,0,1,-1,1,-1,-1,0,NA,-1,"Yes, my own suspicions","No, I would not get vaccinated","Telephone interview",2.44337361241655,"E12000007 (London)",48,"Male","Pakistani","Not religious","English is only language","Non-degree level qualifications","L9.1: Own account workers (non-professional)","No","No","Yes","Not very closely","It is partly caused by natural processes and partly caused by human activity","Bangladeshi mixed employment","Voted",NA,"Voted","Conservatives","Leave",2,2,-2,1,-1,-1,2,-2,1,2,27,0.5,0.625,0.583333333333333,0,-0.5,-0.333333333333333,0.333333333333333,0.2,0.2,0.7,0.166666666666667,-0.333333333333333,1,0,48,1,0,0.2
